# CRIM, ZN, INDUS, CHAS, NOX, RM, AGE, DIS, RAD, TAX, PTRATIO, B, LSTAT, Y
-0.04126454804021934,-0.11420844321766893,-0.3305433413430734,-0.07651715039577832,-0.14408667055489183,0.16243773364647848,0.23218725482063085,-0.0992763832103191,-0.3011357106321588,-0.4248272891403181,-0.074159321945252,0.0985993053291835,-0.22594210243903287,0.3397889182058046
-0.04121857744574453,-0.11420844321766893,0.053530734403497704,-0.07651715039577832,-0.24902494140995476,-0.00406926010623495,-0.2539095517384034,0.0645879790018686,-0.21417919086625736,-0.03360591212048774,0.021585360447875287,0.0709863414862092,-0.10906266921609528,-0.026877748460862005
0.0101888200313472,-0.11420844321766893,0.2487159193151041,-0.07651715039577832,0.31887629386371164,-0.0634676123405098,0.1879030144088322,-0.11018854809814586,0.6119077658199175,0.4778444688230595,0.18115982650137427,-0.8741680761031214,0.17661109016472729,-0.22021108179419518
0.0008374524160076541,-0.11420844321766893,0.2487159193151041,-0.07651715039577832,0.4361602436428995,-0.010775525182144264,0.22085873015683605,-0.13611403783386117,0.6119077658199175,0.4778444688230595,0.18115982650137427,-0.011624337327288627,0.03987350056606846,-0.060211081794195265
-0.04170458498400112,-0.11420844321766893,-0.25535815653300126,-0.07651715039577832,-0.2243335835617047,-0.05599491620167552,-0.25287968480675305,0.0577315018504071,-0.3011357106321588,-0.3217738526154501,0.0003087643605136587,0.10334092505599218,0.0021430044641132817,-0.0024333040164174202
-0.042141474076774314,0.23579155678233105,-0.3653581549338348,-0.07651715039577832,-0.23873687563985063,0.17891598670506012,-0.20962530843051477,0.29513477002908933,-0.3880922341800825,-0.25116316450718196,-0.31884017234819745,0.10017139265836986,-0.20693501120901917,0.22423336265024915
-0.0021766009278384913,-0.11420844321766893,0.2487159193151041,-0.07651715039577832,0.045213741996982595,0.024863485620445915,0.05505028448516637,-0.08146227086026284,0.6119077658199175,0.4778444688230595,0.18115982650137427,0.0966975858906101,0.04469619496308997,0.013122251539138126
-0.023667919002721666,-0.11420844321766893,0.30353073376890777,-0.07651715039577832,0.6439791745809614,-0.03549290409754832,0.2847104277895429,-0.19772230899089638,-0.21417919086625736,-0.02406392880415945,-0.40394655669764395,0.0445397688957145,0.037320309176606475,-0.024655526238639654
-0.04007830437539379,0.1057915553843674,-0.2046174141197636,-0.07651715039577832,-0.2613706203340798,-0.015565715290614806,0.09830466086140463,0.38766993799553745,-0.12722266731833376,-0.1633769057868878,0.06413855032174196,0.05300875659452834,-0.07473642762547936,-0.04687774846086198
-0.041836876777063076,0.6857915567823312,-0.3653581549338348,-0.07651715039577832,-0.3169261754926424,0.18772993585907624,-0.36616495750951056,0.3197871714062999,-0.3446139705151096,-0.16528530180751794,-0.6273508110132278,0.10564834288387968,-0.2469350103185338,0.23756669598358246
